OBJECTID,I_Value,J_Value,TP_ltJuly1
1,9,91,6.792510986
2,10,91,6.728792667
3,11,90,6.570714474
4,11,91,6.614420414
5,12,89,6.324825287
6,12,90,6.489189148
7,12,91,6.565569401
8,13,90,6.354200363
9,13,91,6.565569401
10,14,89,6.216068268
11,14,90,6.3071661
12,14,91,6.562656403
13,15,89,6.179371834
14,15,90,6.451117039
15,15,91,6.451117039
16,16,90,6.344947815
17,17,85,5.901646137
18,17,86,5.802020073
19,17,87,5.836182117
20,17,88,5.986395359
21,17,89,6.257843018
22,17,90,6.521319866
23,18,85,6.031936646
24,18,86,5.861537933
25,18,87,5.836182117
26,18,88,5.979301929
27,18,89,6.213822365
28,18,90,6.521319866
29,18,91,6.823312283
30,19,84,6.227129459
31,19,85,6.013602257
32,19,86,6.083310127
33,19,87,6.070632935
34,19,88,6.238451004
35,19,89,6.600665092
36,19,90,6.879521847
37,19,91,7.129477978
38,20,83,6.668992043
39,20,84,6.460980892
40,20,85,6.24353981
41,20,86,6.083310127
42,20,87,6.275254726
43,20,88,6.364324093
44,20,89,6.600665092
45,20,90,7.008723736
46,20,91,7.23390913
47,21,83,6.702271938
48,21,84,6.791611195
49,21,85,6.656149864
50,21,86,6.570775986
51,21,87,6.9237113
52,21,88,7.03960228
53,21,89,7.225376129
54,21,90,7.40721941
55,21,91,7.745527744
56,22,81,7.005570889
57,22,82,7.049166679
58,22,83,6.92490387
59,22,84,6.791611195
60,22,85,6.957003593
61,22,86,6.903181076
62,22,87,6.9237113
63,22,88,7.37155056
64,22,89,7.525050163
65,22,90,7.656632423
66,22,91,7.745527744
67,23,81,7.132742882
68,23,82,7.049166679
69,23,83,7.236167908
70,23,84,7.214129925
71,23,85,7.213687897
72,23,86,7.561258793
73,23,87,7.698970795
74,23,88,7.857461452
75,23,89,8.291118622
76,23,90,8.307060242
77,23,91,8.251961708
78,23,92,8.176963806
79,24,81,7.296903133
80,24,82,7.276826382
81,24,83,7.236167908
82,24,84,7.411991119
83,24,85,7.464445591
84,24,86,7.561258793
85,24,87,7.963682652
86,24,88,8.161549568
87,24,89,8.291118622
88,24,90,8.607390404
89,24,91,8.529315948
90,24,92,8.403752327
91,25,80,7.305484295
92,25,81,7.371988773
93,25,82,7.487005711
94,25,83,7.550693035
95,25,84,7.644006729
96,25,85,7.92610693
97,25,86,8.148111343
98,25,87,8.385135651
99,25,88,8.748423576
100,25,89,8.853346825
101,25,90,8.797035217
102,25,91,8.875663757
103,25,92,8.687184334
104,26,79,7.376158714
105,26,80,7.41808033
106,26,81,7.458984375
107,26,82,7.568684101
108,26,83,7.637937546
109,26,84,7.758141041
110,26,85,8.000864983
111,26,86,8.238728523
112,26,87,8.507061958
113,26,88,8.748423576
114,26,89,9.006124496
115,26,90,9.011772156
116,26,91,8.875663757
117,26,92,8.877124786
118,26,93,8.681063652
119,27,78,7.33058691
120,27,79,7.376158714
121,27,80,7.438580513
122,27,81,7.500042915
123,27,82,7.683308125
124,27,83,7.839357853
125,27,84,8.024614334
126,27,85,8.263446808
127,27,86,8.522028923
128,27,87,8.813948631
129,27,88,9.053208351
130,27,89,9.140792847
131,27,90,9.16917038
132,27,91,9.028739929
133,27,92,8.833777428
134,27,93,8.770778656
135,28,77,7.288344383
136,28,78,7.36229372
137,28,79,7.436707973
138,28,80,7.514070988
139,28,81,7.60296011
140,28,82,7.695512772
141,28,83,7.839357853
142,28,84,8.01184082
143,28,85,8.242508888
144,28,86,8.522028923
145,28,87,8.741500854
146,28,88,9.012914658
147,28,89,9.173918724
148,28,90,9.16917038
149,28,91,9.121752739
150,28,92,8.95567894
151,28,93,8.770778656
152,28,94,8.705450058
153,29,77,7.288344383
154,29,78,7.328976631
155,29,79,7.415261745
156,29,80,7.505139828
157,29,81,7.60296011
158,29,82,7.79522562
159,29,83,7.973239422
160,29,84,8.19167614
161,29,85,8.366336823
162,29,86,8.633690834
163,29,87,8.913978577
164,29,88,9.014784813
165,29,89,9.148715973
166,29,90,9.146777153
167,29,91,9.054171562
168,29,92,8.926341057
169,29,93,8.778287888
170,29,94,8.648719788
171,30,77,7.280327797
172,30,78,7.376559258
173,30,79,7.430986404
174,30,80,7.545876026
175,30,81,7.672001362
176,30,82,7.79522562
177,30,83,7.916090012
178,30,84,8.121581078
179,30,85,8.366336823
180,30,86,8.508189201
181,30,87,8.78081131
182,30,88,9.014784813
183,30,89,9.045637131
184,30,90,9.107282639
185,30,91,9.054171562
186,30,92,8.945041656
187,30,93,8.824259758
188,30,94,8.703224182
189,30,95,8.606898308
190,31,75,7.094658852
191,31,76,7.186377525
192,31,77,7.217624664
193,31,78,7.32244873
194,31,79,7.430986404
195,31,80,7.491794586
196,31,81,7.622252941
197,31,82,7.743552685
198,31,83,8.038843155
199,31,84,8.156849861
200,31,85,8.39286232
201,31,86,8.632541656
202,31,87,8.714986801
203,31,88,8.907024384
204,31,89,9.015956879
205,31,90,8.948565483
206,31,91,8.921831131
207,31,92,8.838655472
208,31,93,8.747373581
209,31,94,8.671628952
210,31,95,8.612705231
211,32,75,7.032529831
212,32,76,7.141815186
213,32,77,7.254345417
214,32,78,7.296303749
215,32,79,7.423676968
216,32,80,7.55808115
217,32,81,7.628443718
218,32,82,7.763513088
219,32,83,7.947381496
220,32,84,8.045371056
221,32,85,8.262882233
222,32,86,8.480360985
223,32,87,8.714986801
224,32,88,8.750967026
225,32,89,8.889771461
226,32,90,8.948565483
227,32,91,8.86163044
228,32,92,8.820562363
229,32,93,8.747373581
230,32,94,8.678077698
231,32,95,8.630157471
232,32,96,8.600764275
233,33,75,7.032529831
234,33,76,7.053516388
235,33,77,7.173263073
236,33,78,7.296303749
237,33,79,7.343014717
238,33,80,7.481442928
239,33,81,7.628443718
240,33,82,7.673147202
241,33,83,7.849453926
242,33,84,8.133976936
243,33,85,8.184045792
244,33,86,8.394792557
