Date,JulianDate,Latitude,Longitude,I_Index,J_Index,K_Index,Number_Layers,Sigma_Layer_Thickness,TP_ugL-1,Sample_Depth,Water_Depth,Source
7/28/2018,1532736000,43.20244218,-79.32615661,48,66,2,10,1.5192,3.27,2,15.192,LONNS2018
7/28/2018,1532736000,43.20244218,-79.32615661,48,66,9,10,1.5192,0.61,13.6,15.192,LONNS2019
8/26/2013,1377475200,43.22278,-79.44583,40,75,1,10,2.0334,11.2,1,20.334,ECCC
4/17/2013,1366156800,43.22333,-79.44639,40,75,1,10,2.0334,6.4,1,20.334,ECCC
8/17/2018,1534464000,43.22389,-79.44528,40,75,1,10,2.0334,6.5,1,20.334,ECCC
8/17/2018,1534464000,43.22389,-79.44528,40,75,1,10,2.0334,5.4,1,20.334,ECCC
5/21/2013,1369094400,43.2247,-79.2719,52,67,10,10,1.1713,5.79,12.6,11.713,LOLA2013
5/21/2013,1369094400,43.2247,-79.2719,52,67,5,10,1.1713,7.602,5,11.713,LOLA2013
7/25/2018,1532476800,43.2247,-79.2719,52,67,2,10,1.1713,12.1,2,11.713,LOLA2013
7/25/2018,1532476800,43.2247,-79.2719,52,67,10,10,1.1713,12.7,11.2,11.713,LOLA2013
4/17/2013,1366156800,43.22472,-79.27139,52,67,1,10,1.1713,8.3,1,11.713,ECCC
4/17/2013,1366156800,43.22472,-79.27139,52,67,1,10,1.1713,8.6,1,11.713,ECCC
4/17/2013,1366156800,43.22472,-79.27139,52,67,9,10,1.1713,8.5,9.5,11.713,ECCC
8/14/2018,1534204800,43.224933,-79.272617,52,67,1,10,1.1713,6.61,0,11.713,
4/9/2018,1523232000,43.225117,-79.271633,52,67,1,10,1.1713,5.133,0,11.713,
8/17/2018,1534464000,43.22528,-79.27194,52,67,1,10,1.1713,9.5,1,11.713,ECCC
8/17/2018,1534464000,43.22528,-79.27194,52,67,9,10,1.1713,6.9,10,11.713,ECCC
8/27/2013,1377561600,43.22556,-79.27167,52,67,1,10,1.1713,8.9,1,11.713,ECCC
8/27/2013,1377561600,43.22556,-79.27167,52,67,5,10,1.1713,8.7,5,11.713,ECCC
