"","I","J","XCent","YCent","lat","lon","node","depth","maxSigma"
"1",175,2,779851.6,4792993.9,43.23781492,-77.55339785,1,3.773,4
"2",176,2,781284.5,4792807.5,43.23560679,-77.53587709,2,3.421,3
"3",174,3,778435.2,4793478,43.24269022,-77.57056693,3,3.4,3
"4",175,3,779870.5,4793297,43.24053229,-77.55301174,4,5.226,5
"5",176,3,781305.8,4793116.1,43.23837261,-77.53545791,5,4.199,4
"6",174,4,778451.6,4793775.7,43.24536005,-77.57021499,6,4.652,5
"7",175,4,779889.3,4793600.2,43.2432506,-77.55262676,7,7.09,7
"8",176,4,781327.1,4793424.6,43.24113754,-77.53503873,8,6.237,6
"9",173,5,777027.8,4794243.6,43.25009003,-77.58748679,9,2.347,2
"10",174,5,778468,4794073.5,43.24803079,-77.56986297,10,6.163,6
"11",175,5,779908.2,4793903.3,43.24596796,-77.55224056,11,8.249,8
"12",176,5,781348.4,4793733.2,43.24390336,-77.53461946,12,7.595,8
"13",172,6,775607.6,4794670.8,43.25445032,-77.60473748,13,3.311,3
"14",173,6,777041.8,4794536,43.25271319,-77.58716771,14,3.636,4
"15",174,6,778484.4,4794371.2,43.25070062,-77.56951096,15,7.438,7
"16",175,6,779927,4794206.5,43.24868626,-77.5518555,16,9.709,10
"17",176,6,781369.7,4794041.7,43.24666828,-77.53420019,17,9.08,9
"18",172,7,775620.4,4794960.5,43.25704972,-77.60443521,18,3.814,4
"19",173,7,777055.7,4794828.3,43.25533547,-77.58684987,19,5.11,5
"20",174,7,778500.8,4794669,43.25337135,-77.56915886,20,8.785,9
"21",175,7,779945.9,4794509.7,43.25140452,-77.55146916,21,11.946,10
"22",176,7,781390.9,4794350.3,43.24943413,-77.53378206,22,11.546,10
"23",177,7,782850.4,4794232.3,43.2478277,-77.51589675,23,6.171,6
"24",172,8,775633.3,4795250.3,43.25964997,-77.60413163,24,4.426,4
"25",173,8,777069.7,4795120.7,43.25795862,-77.58653072,25,6.905,7
"26",174,8,778517.2,4794966.8,43.25604207,-77.56880672,26,10.377,10
"27",175,8,779964.7,4794812.8,43.25412191,-77.55108407,27,14.192,10
"28",176,8,781412.2,4794658.9,43.25219994,-77.53336264,28,13.872,10
"29",177,8,782871.7,4794542.4,43.2506069,-77.51547578,29,7.169,7
"30",171,9,774221.2,4795645.2,43.26371458,-77.62130278,30,2.63,3
"31",172,9,775646.2,4795540,43.26224932,-77.60382807,31,5.555,6
"32",173,9,777083.7,4795413.1,43.26058176,-77.58621153,32,8.268,8
"33",174,9,778533.6,4795264.5,43.25871189,-77.5684546,33,12.024,10
"34",175,9,779983.6,4795116,43.25684016,-77.55069765,34,16.277,10
"35",176,9,781433.5,4794967.4,43.25496484,-77.53294324,35,16.053,10
"36",177,9,782893,4794852.5,43.25338609,-77.51505476,36,9.756,10
"37",178,9,784362,4794771.1,43.25210209,-77.49703329,37,3.125,3
"38",171,10,774234.3,4795935,43.26631482,-77.6209974,38,3.614,4
"39",172,10,775659.1,4795829.7,43.26484866,-77.60352447,39,6.767,7
"40",173,10,777097.6,4795705.4,43.26320404,-77.58589359,40,9.441,9
"41",174,10,778550,4795562.3,43.26138261,-77.56810239,41,13.841,10
"42",175,10,780002.4,4795419.1,43.25955755,-77.55031247,42,17.802,10
"43",176,10,781454.8,4795276,43.25773064,-77.53252374,43,18.226,10
"44",177,10,782914.3,4795162.5,43.25616439,-77.51463375,44,12.551,10
"45",178,10,784380.9,4795078.8,43.25486052,-77.49664217,45,5.459,5
"46",170,11,772823,4796330.3,43.2703803,-77.63816164,46,1.602,2
"47",171,11,774247.5,4796224.8,43.26891503,-77.62069076,47,4.97,5
"48",172,11,775672,4796119.4,43.26744801,-77.60322084,48,8.168,8
"49",173,11,777111.6,4795997.8,43.26582718,-77.58557434,49,10.621,10
"50",174,11,778566.4,4795860,43.26405243,-77.56775019,50,15.336,10
"51",175,11,780021.3,4795722.3,43.26227579,-77.54992597,51,18.956,10
"52",176,11,781476.1,4795584.5,43.26049554,-77.53210424,52,20.068,10
"53",177,11,782935.6,4795472.6,43.25894357,-77.51421263,53,15.533,10
"54",178,11,784399.9,4795386.5,43.25761891,-77.49624978,54,8.549,9
"55",179,11,785864.1,4795300.4,43.25629148,-77.47828912,55,3.409,3
"56",169,12,771412.2,4796725.7,43.27444398,-77.65532211,56,1.64,2
"57",170,12,772836.4,4796620.2,43.2729814,-77.63785319,57,3.41,3
"58",171,12,774260.6,4796514.7,43.27151616,-77.62038527,58,6.729,7
"59",172,12,775684.8,4796409.1,43.27004739,-77.6029184,59,9.582,10
"60",173,12,777125.6,4796290.2,43.26845032,-77.58525505,60,12.061,10
"61",174,12,778582.8,4796157.8,43.26672314,-77.5673979,61,16.64,10
"62",175,12,780040.1,4796025.4,43.26499317,-77.5495407,62,19.942,10
"63",176,12,781497.4,4795893.1,43.26326133,-77.53168465,63,21.369,10
"64",177,12,782956.9,4795782.7,43.26172275,-77.51379148,64,19.031,10
"65",178,12,784418.8,4795694.2,43.26037733,-77.49585858,65,11.37,10
"66",179,12,785880.6,4795605.7,43.25902915,-77.47792788,66,5.501,6
"67",180,12,787342.5,4795517.2,43.25767815,-77.45999692,67,2.214,2
"68",169,13,771425.9,4797015.8,43.27704684,-77.65501056,68,1.999,2
"69",170,13,772849.8,4796910.1,43.27558249,-77.6375447,69,5.33,5
"70",171,13,774273.8,4796804.5,43.27411636,-77.62007856,70,8.732,9
"71",172,13,775697.7,4796698.8,43.27264673,-77.60261471,71,11.216,10
"72",173,13,777139.6,4796582.5,43.27107255,-77.58493577,72,13.952,10
"73",174,13,778599.3,4796455.6,43.26939381,-77.56704434,73,17.695,10
"74",175,13,780059,4796328.6,43.2677114,-77.54915412,74,20.652,10
"75",176,13,781518.7,4796201.6,43.26602622,-77.53126506,75,22.305,10
"76",177,13,782978.2,4796092.7,43.26450103,-77.51337033,76,21.366,10
"77",178,13,784437.7,4796001.8,43.26313485,-77.49546738,77,14.252,10
"78",179,13,785897.2,4795911,43.26176678,-77.47756537,78,7.416,7
"79",180,13,787356.6,4795820.1,43.26039508,-77.45966562,79,2.834,3
