FID_fvcomGrid_XYTableToPoint,lat,lng,node,TP_2018ltJuly1
1,43.30945969,-79.79962158,1,
2,43.30840683,-79.79928589,2,
3,43.30739594,-79.7989502,3,
4,43.30641556,-79.79858398,4,
5,43.30546188,-79.79818726,5,
6,43.30453873,-79.79782104,6,6.344947815
7,43.30364227,-79.79745483,7,6.344947815
8,43.30277634,-79.79705811,8,6.344947815
9,43.30195999,-79.79656982,9,6.344947815
10,43.30125809,-79.79589844,10,6.344947815
11,43.3007431,-79.79498291,11,6.344947815
12,43.31054688,-79.79986572,12,
13,43.31002808,-79.79821777,13,
14,43.30900192,-79.79824829,14,
15,43.30801773,-79.79769897,15,
16,43.30677795,-79.79745483,16,
17,43.30558395,-79.79690552,17,6.344947815
18,43.3026123,-79.79577637,18,6.344947815
19,43.3045578,-79.79641724,19,6.344947815
20,43.30354309,-79.79602051,20,6.344947815
21,43.30179596,-79.79489136,21,6.344947815
22,43.3007164,-79.79373169,22,6.344947815
23,43.29898834,-79.79440308,23,6.344947815
24,43.3116684,-79.80010986,24,
25,43.31282043,-79.800354,25,
26,43.31401443,-79.80053711,26,
27,43.31523895,-79.80065918,27,
28,43.31650543,-79.80072021,28,
29,43.31780243,-79.80065918,29,
30,43.31904602,-79.79998779,30,
31,43.32029343,-79.79922485,31,
32,43.32152557,-79.79827881,32,
33,43.3236351,-79.79550171,33,
34,43.32260513,-79.79699707,34,
35,43.32443237,-79.79351807,35,
36,43.32557678,-79.79220581,36,
37,43.31125641,-79.7984314,37,
38,43.31056976,-79.79678345,38,
39,43.30907822,-79.79660034,39,
40,43.30766678,-79.79611206,40,
41,43.30651855,-79.79602051,41,
42,43.30556107,-79.79534912,42,6.344947815
43,43.30311203,-79.79458618,43,6.344947815
44,43.30438614,-79.79492188,44,6.344947815
45,43.30201721,-79.79360962,45,6.344947815
46,43.30122375,-79.79251099,46,6.344947815
47,43.29967117,-79.79302979,47,6.344947815
48,43.29857635,-79.79275513,48,6.344947815
49,43.29798508,-79.79412842,49,6.344947815
50,43.29712296,-79.79354858,50,6.344947815
51,43.31254959,-79.79864502,51,
52,43.31389999,-79.79885864,52,
53,43.31537628,-79.79916382,53,
54,43.31692505,-79.7989502,54,
55,43.31814575,-79.79879761,55,
56,43.31925964,-79.79776001,56,
57,43.32301331,-79.79324341,57,
58,43.32073593,-79.79663086,58,
59,43.32196045,-79.79489136,59,
60,43.32406235,-79.79138184,60,
61,43.32507324,-79.79003906,61,
62,43.32651901,-79.79037476,62,
63,43.31201935,-79.79696655,63,
64,43.31137085,-79.79528809,64,
65,43.30984879,-79.79507446,65,
66,43.30841064,-79.79467773,66,
67,43.30686569,-79.79434204,67,
68,43.30308914,-79.79324341,68,6.344947815
69,43.30544281,-79.79367065,69,6.344947815
70,43.30418015,-79.793396,70,6.344947815
71,43.30245972,-79.79220581,71,6.344947815
72,43.30036545,-79.79165649,72,6.344947815
73,43.30194855,-79.79116821,73,6.521319866
74,43.30106354,-79.7902832,74,6.521319866
75,43.299263,-79.7913208,75,6.344947815
76,43.29824829,-79.79119873,76,6.344947815
77,43.29738617,-79.79220581,77,6.344947815
78,43.29616547,-79.79284668,78,6.344947815
79,43.29507828,-79.79220581,79,
80,43.29388428,-79.79153442,80,
81,43.31346893,-79.79708862,81,
82,43.31489944,-79.79727173,82,
83,43.31621933,-79.7975769,83,
84,43.31767654,-79.796875,84,
85,43.31912613,-79.79559326,85,
86,43.32275391,-79.79098511,86,
87,43.32156754,-79.79238892,87,
88,43.32042694,-79.7940979,88,
89,43.32365036,-79.78878784,89,
90,43.32561111,-79.78808594,90,
91,43.3273735,-79.78823853,91,
92,43.31291962,-79.7953186,92,
93,43.31213379,-79.79354858,93,
94,43.31072617,-79.79367065,94,
95,43.30944061,-79.79309082,95,
96,43.30792236,-79.79272461,96,
97,43.30644608,-79.79229736,97,6.521319866
98,43.30363464,-79.79190063,98,6.521319866
99,43.30497742,-79.79171753,99,6.521319866
100,43.3028183,-79.7906189,100,6.521319866
101,43.29993057,-79.78997803,101,6.521319866
102,43.30189514,-79.7895813,102,6.521319866
103,43.30085373,-79.78909302,103,6.521319866
104,43.2986908,-79.78948975,104,6.521319866
105,43.2973175,-79.79022217,105,6.344947815
106,43.2962265,-79.7911377,106,6.344947815
107,43.29499817,-79.7902832,107,
108,43.2937355,-79.78985596,108,
