,X.1,X,date_time,Year,Longitude,Latitude,Agency,Program,station_id,node_fvcom,nLayers_fvcom,sigthick_fvcom,sigma,node_EFDC,nLayers_efdc,sigthick_efdc,I_Index,J_Index,K_Index,sample_depth,water_depth,TP_ugL.1,Model_source,JulianDate
322,579,603,4/4/2013,2013,-79.35405,43.504083,,NA,NA,5488,20,5.3432,1,9704,10,10.6864,58,94,1,0,106.864,3.693,LOTP,1365033600
323,584,608,4/4/2013,2013,-79.079033,43.515867,,NA,NA,7099,20,6.9259,1,8577,10,13.8518,77,89,1,0,138.518,3.369,LOTP,1365033600
336,789,819,4/4/2013,2013,-78.798233,43.5968,,NA,NA,8470,20,6.981,1,8836,10,13.962,98,90,1,0,139.62,3.354,LOTP,1365033600
341,970,1007,4/4/2013,2013,-78.02755,43.7166,GLNPO,NA,NA,14291,20,6.55965,1,9791,10,13.1193,145,94,1,0,131.193,3.962,LOTP,1365033600
738,971,1008,4/4/2013,2013,-78.02755,43.7166,GLNPO,NA,NA,14291,20,6.55965,1,9791,10,13.1193,145,94,1,1.7,131.193,4.053,LOTP,1365033600
870,790,820,4/4/2013,2013,-78.798233,43.5968,,NA,NA,8470,20,6.981,1,8836,10,13.962,98,90,1,2.7,139.62,3.717,LOTP,1365033600
871,1349,1400,4/4/2013,2013,-78.802,43.6,USEPA,GLNPO,ON33M,8348,20,6.81205,1,8835,10,13.6241,97,91,1,2.7,136.241,3.717,LOEM,1365033600
878,580,604,4/4/2013,2013,-79.35405,43.504083,,NA,NA,5488,20,5.3432,1,9704,10,10.6864,58,94,1,3.5,106.864,4.138,LOTP,1365033600
879,585,609,4/4/2013,2013,-79.079033,43.515867,,NA,NA,7099,20,6.9259,1,8577,10,13.8518,77,89,1,3.5,138.518,4.112,LOTP,1365033600
892,791,821,4/4/2013,2013,-78.798233,43.5968,,NA,NA,8470,20,6.981,1,8836,10,13.962,98,90,1,4.9,139.62,3.673,LOTP,1365033600
893,1350,1401,4/4/2013,2013,-78.802,43.6,USEPA,GLNPO,ON33M,8348,20,6.81205,1,8835,10,13.6241,97,91,1,4.9,136.241,3.673,LOEM,1365033600
989,792,822,4/4/2013,2013,-78.798233,43.5968,,NA,NA,8470,20,6.981,1,8836,10,13.962,98,90,1,9.9,139.62,3.635,LOTP,1365033600
990,1351,1402,4/4/2013,2013,-78.802,43.6,USEPA,GLNPO,ON33M,8348,20,6.81205,1,8835,10,13.6241,97,91,1,9.9,136.241,3.635,LOEM,1365033600
1157,793,823,4/4/2013,2013,-78.798233,43.5968,,NA,NA,8470,20,6.981,2,8836,10,13.962,98,90,2,20,139.62,3.834,LOTP,1365033600
1162,1352,1403,4/4/2013,2013,-78.802,43.6,USEPA,GLNPO,ON33M,8348,20,6.81205,2,8835,10,13.6241,97,91,2,20,136.241,3.834,LOEM,1365033600
1297,794,824,4/4/2013,2013,-78.798233,43.5968,,NA,NA,8470,20,6.981,4,8836,10,13.962,98,90,3,29.9,139.62,3.552,LOTP,1365033600
1298,1353,1404,4/4/2013,2013,-78.802,43.6,USEPA,GLNPO,ON33M,8348,20,6.81205,4,8835,10,13.6241,97,91,3,29.9,136.241,3.552,LOEM,1365033600
1364,795,825,4/4/2013,2013,-78.798233,43.5968,,NA,NA,8470,20,6.981,5,8836,10,13.962,98,90,3,40,139.62,3.411,LOTP,1365033600
1365,1354,1405,4/4/2013,2013,-78.802,43.6,USEPA,GLNPO,ON33M,8348,20,6.81205,5,8835,10,13.6241,97,91,3,40,136.241,3.411,LOEM,1365033600
1456,796,826,4/4/2013,2013,-78.798233,43.5968,,NA,NA,8470,20,6.981,7,8836,10,13.962,98,90,4,50,139.62,3.447,LOTP,1365033600
1457,1355,1406,4/4/2013,2013,-78.802,43.6,USEPA,GLNPO,ON33M,8348,20,6.81205,7,8835,10,13.6241,97,91,4,50,136.241,3.447,LOEM,1365033600
1525,581,605,4/4/2013,2013,-79.35405,43.504083,,NA,NA,5488,20,5.3432,9,9704,10,10.6864,58,94,5,52,106.864,3.922,LOTP,1365033600
1527,972,1009,4/4/2013,2013,-78.02755,43.7166,GLNPO,NA,NA,14291,20,6.55965,9,9791,10,13.1193,145,94,5,64,131.193,4.45,LOTP,1365033600
