"","X.1","X","date_time","lat.x","lng","type","source","siteID","siteDepth","sampleDepth","temp","node_fvcom","sigma","node_efdc","I_Index","J_Index","dist_fvcom","dist_efdc","nLayers_efdc","K_Index"
"1",1,1,"7/28/2018",43.20233333,-79.326,"ctd","csmi","NR20W15",15.1,0,11.1209,2973,1,3886,48,66,0.001817679,0.002284497,10,0
"2",2,2,"7/28/2018",43.20233333,-79.326,"ctd","csmi","NR20W15",15.1,1,14.9732,2973,1,3886,48,66,0.001817679,0.002284497,10,0
"3",3,3,"7/28/2018",43.20233333,-79.326,"ctd","csmi","NR20W15",15.1,2,13.46768,2973,3,3886,48,66,0.001817679,0.002284497,10,1
"4",4,4,"7/28/2018",43.20233333,-79.326,"ctd","csmi","NR20W15",15.1,3,22.4481,2973,4,3886,48,66,0.001817679,0.002284497,10,1
"5",5,5,"7/28/2018",43.20233333,-79.326,"ctd","csmi","NR20W15",15.1,4,22.4488,2973,6,3886,48,66,0.001817679,0.002284497,10,2
"6",6,6,"7/28/2018",43.20233333,-79.326,"ctd","csmi","NR20W15",15.1,5,7.480233333,2973,7,3886,48,66,0.001817679,0.002284497,10,3
"7",7,7,"7/28/2018",43.20233333,-79.326,"ctd","csmi","NR20W15",15.1,6,22.44312,2973,9,3886,48,66,0.001817679,0.002284497,10,3
"8",8,8,"7/28/2018",43.20233333,-79.326,"ctd","csmi","NR20W15",15.1,7,22.4219,2973,10,3886,48,66,0.001817679,0.002284497,10,4
"9",9,9,"7/28/2018",43.20233333,-79.326,"ctd","csmi","NR20W15",15.1,8,22.38738,2973,11,3886,48,66,0.001817679,0.002284497,10,5
"10",10,10,"7/28/2018",43.20233333,-79.326,"ctd","csmi","NR20W15",15.1,9,22.3928,2973,13,3886,48,66,0.001817679,0.002284497,10,5
"11",11,11,"7/28/2018",43.20233333,-79.326,"ctd","csmi","NR20W15",15.1,10,22.36906,2973,14,3886,48,66,0.001817679,0.002284497,10,6
"12",12,12,"7/28/2018",43.20233333,-79.326,"ctd","csmi","NR20W15",15.1,11,14.88693333,2973,16,3886,48,66,0.001817679,0.002284497,10,7
"13",13,13,"7/28/2018",43.20233333,-79.326,"ctd","csmi","NR20W15",15.1,12,17.85598,2973,17,3886,48,66,0.001817679,0.002284497,10,7
"14",14,14,"7/28/2018",43.20233333,-79.326,"ctd","csmi","NR20W15",15.1,13,14.87076667,2973,19,3886,48,66,0.001817679,0.002284497,10,8
"15",15,15,"7/28/2018",43.20233333,-79.326,"ctd","csmi","NR20W15",15.1,14,22.2998,2973,20,3886,48,66,0.001817679,0.002284497,10,9
"16",16,16,"7/25/2018",43.22433333,-79.27416667,"ctd","csmi","stn17",12.786,1,22.398,3758,2,4064,52,67,0.003081582,0.00482641,10,0
"17",17,17,"7/25/2018",43.22433333,-79.27416667,"ctd","csmi","stn17",12.786,2,22.39258,3758,3,4064,52,67,0.003081582,0.00482641,10,1
"18",18,18,"7/25/2018",43.22433333,-79.27416667,"ctd","csmi","stn17",12.786,3,22.37816667,3758,5,4064,52,67,0.003081582,0.00482641,10,2
"19",19,19,"7/25/2018",43.22433333,-79.27416667,"ctd","csmi","stn17",12.786,4,22.37772,3758,7,4064,52,67,0.003081582,0.00482641,10,3
"20",20,20,"7/25/2018",43.22433333,-79.27416667,"ctd","csmi","stn17",12.786,5,22.37646667,3758,8,4064,52,67,0.003081582,0.00482641,10,3
"21",21,21,"7/25/2018",43.22433333,-79.27416667,"ctd","csmi","stn17",12.786,6,22.37488,3758,10,4064,52,67,0.003081582,0.00482641,10,4
"22",22,22,"7/25/2018",43.22433333,-79.27416667,"ctd","csmi","stn17",12.786,7,22.37183333,3758,12,4064,52,67,0.003081582,0.00482641,10,5
"23",23,23,"7/25/2018",43.22433333,-79.27416667,"ctd","csmi","stn17",12.786,8,22.37034,3758,13,4064,52,67,0.003081582,0.00482641,10,6
"24",24,24,"7/25/2018",43.22433333,-79.27416667,"ctd","csmi","stn17",12.786,9,22.3629,3758,15,4064,52,67,0.003081582,0.00482641,10,7
"25",25,25,"7/25/2018",43.22433333,-79.27416667,"ctd","csmi","stn17",12.786,10,22.35862,3758,17,4064,52,67,0.003081582,0.00482641,10,7
"26",26,26,"7/25/2018",43.22433333,-79.27416667,"ctd","csmi","stn17",12.786,11,22.34316667,3758,18,4064,52,67,0.003081582,0.00482641,10,8
"27",27,27,"7/25/2018",43.22433333,-79.27416667,"ctd","csmi","stn17",12.786,12,22.3297,3758,20,4064,52,67,0.003081582,0.00482641,10,9
"28",28,28,"8/14/2018",43.22493333,-79.27261667,"ctd","csmi","stn17",12.786,0,24.15455,3758,1,4064,52,67,0.003081582,0.00482641,10,0
"29",29,29,"8/14/2018",43.22493333,-79.27261667,"ctd","csmi","stn17",12.786,1,24.1453,3758,2,4064,52,67,0.003081582,0.00482641,10,0
"30",30,30,"8/14/2018",43.22493333,-79.27261667,"ctd","csmi","stn17",12.786,2,24.1574,3758,3,4064,52,67,0.003081582,0.00482641,10,1
"31",31,31,"8/14/2018",43.22493333,-79.27261667,"ctd","csmi","stn17",12.786,3,23.33436667,3758,5,4064,52,67,0.003081582,0.00482641,10,2
"32",32,32,"8/14/2018",43.22493333,-79.27261667,"ctd","csmi","stn17",12.786,4,23.1939,3758,7,4064,52,67,0.003081582,0.00482641,10,3
"33",33,33,"8/14/2018",43.22493333,-79.27261667,"ctd","csmi","stn17",12.786,5,22.50403333,3758,8,4064,52,67,0.003081582,0.00482641,10,3
"34",34,34,"8/14/2018",43.22493333,-79.27261667,"ctd","csmi","stn17",12.786,6,21.7068,3758,10,4064,52,67,0.003081582,0.00482641,10,4
"35",35,35,"8/14/2018",43.22493333,-79.27261667,"ctd","csmi","stn17",12.786,7,21.30283333,3758,12,4064,52,67,0.003081582,0.00482641,10,5
"36",36,36,"8/14/2018",43.22493333,-79.27261667,"ctd","csmi","stn17",12.786,8,20.72718,3758,13,4064,52,67,0.003081582,0.00482641,10,6
"37",37,37,"8/14/2018",43.22493333,-79.27261667,"ctd","csmi","stn17",12.786,9,19.61326667,3758,15,4064,52,67,0.003081582,0.00482641,10,7
"38",38,38,"8/14/2018",43.22493333,-79.27261667,"ctd","csmi","stn17",12.786,10,18.34722,3758,17,4064,52,67,0.003081582,0.00482641,10,7
"39",39,39,"8/14/2018",43.22493333,-79.27261667,"ctd","csmi","stn17",12.786,11,19.657,3758,18,4064,52,67,0.003081582,0.00482641,10,8
"40",40,40,"9/16/2018",43.225,-79.27116667,"ctd","csmi","stn17",12.786,0,22.0789,3758,1,4064,52,67,0.003081582,0.00482641,10,0
"41",41,41,"9/16/2018",43.225,-79.27116667,"ctd","csmi","stn17",12.786,1,21.84333333,3758,2,4064,52,67,0.003081582,0.00482641,10,0
